Index,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12
ICELAND.INDPROD.ELECTR   ,1463,1332,1461,1381,1388,1326,1341,1358,1348,1417,1440,1490,1484,1342,1467,1368,1395,1329,1377,1389,1370,1444,1418,1500,1507,1415,1483,1388,1414,1344,1397,1413,1388,1474,1457,1522
ICELAND.IMPORTS.ELECTR   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICELAND.EXPORTS.ELECTR   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICELAND.CONSUME.ELECTR   ,1463,1332,1461,1381,1388,1326,1341,1358,1348,1417,1440,1490,1484,1342,1467,1368,1395,1329,1377,1389,1370,1444,1418,1500,1507,1415,1483,1388,1414,1344,1397,1413,1388,1474,1457,1522
IRELAND.INDPROD.THERMAL  ,2254,2086,2124,1861,1836,1838,1769,1758,1788,1865,2003,2384,2216,1786,2059,1725,1470,1653,1761,1835,1528,1752,1720,1776,1913,1845,1840,1700,1823,1621,1700,1614,1606,1886,1910,1789
IRELAND.INDPROD.NUCLEAR  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRELAND.INDPROD.HYDRO    ,135,92,62,108,43,34,22,14,54,43,107,54,93,99,52,30,30,28,19,16,39,73,103,119,103,84,46,16,34,96,103,95,67,107,119,129
IRELAND.INDPROD.GEOTHERM ,247,151,251,186,168,155,268,207,288,321,340,234,277,358,207,248,547,244,186,192,487,454,551,629,541,376,311,365,261,242,223,296,313,274,363,489
IRELAND.INDPROD.ELECTR   ,2636,2328,2436,2155,2047,2028,2059,1979,2130,2229,2450,2671,2586,2243,2318,2003,2047,1926,1967,2043,2053,2279,2374,2523,2557,2305,2197,2081,2118,1959,2026,2004,1985,2266,2393,2407
IRELAND.IMPORTS.ELECTR   ,138,108,74,51,105,51,23,55,14,24,26,92,70,65,95,131,101,104,70,55,23,9,6,3,3,26,88,66,67,74,66,96,98,56,40,44
IRELAND.EXPORTS.ELECTR   ,4,8,13,19,3,18,41,17,73,36,48,9,16,16,11,2,9,3,6,16,19,37,49,57,115,55,6,12,18,9,12,22,16,23,44,38
IRELAND.CONSUME.ELECTR   ,2770,2428,2497,2187,2149,2061,2041,2017,2071,2217,2428,2754,2640,2292,2402,2132,2139,2027,2031,2082,2057,2251,2331,2469,2445,2276,2279,2135,2167,2024,2080,2078,2067,2299,2389,2413
ITALY.INDPROD.THERMAL    ,20156,18273,19296,16487,15735,16266,21229,16980,18715,19262,17828,20015,19908,18370,19508,15874,17219,15972,19174,17027,19606,17228,17205,17682,19110,20507,17463,14865,14591,15964,19288,17777,17171,16036,14638,15156
